reportyear,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,mode,mode_name,pop_mode,pop_total,percent
2000,Other,CO,6001.0,Alameda,Alameda,6001,Bay Area,1,PUBLICTR,Public Transportation,152,1873,8.11532301121196
2000,AIAN,CO,6001.0,Alameda,Alameda,6001,Bay Area,1,WALK,Walked to work,120,2656,4.51807228915663
2000,Asian,CO,6001.0,Alameda,Alameda,6001,Bay Area,1,WALK,Walked to work,4661,135101,3.45001147289805
2000,AfricanAm,CO,6001.0,Alameda,Alameda,6001,Bay Area,1,WALK,Walked to work,2009,82321,2.44044654462409
2000,Latino,CO,6001.0,Alameda,Alameda,6001,Bay Area,1,WALK,Walked to work,3909,107054,3.65142825116296
2000,NHOPI,CO,6001.0,Alameda,Alameda,6001,Bay Area,1,WALK,Walked to work,115,3725,3.08724832214765
2000,White,CO,6001.0,Alameda,Alameda,6001,Bay Area,1,WALK,Walked to work,10057,321442,3.12871373373735
2000,Multiple,CO,6001.0,Alameda,Alameda,6001,Bay Area,1,WALK,Walked to work,924,24738,3.73514431239389
2000,Other,CO,6001.0,Alameda,Alameda,6001,Bay Area,1,WALK,Walked to work,124,1873,6.62039508809397
2000,AIAN,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,ATHOME,Worked at home,2,64,3.125
2000,Asian,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,ATHOME,Worked at home,NA,NA,NA
2000,AfricanAm,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,ATHOME,Worked at home,NA,NA,NA
2000,Latino,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,ATHOME,Worked at home,NA,NA,NA
2000,NHOPI,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,ATHOME,Worked at home,NA,NA,NA
2000,White,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,ATHOME,Worked at home,20,489,4.08997955010225
2000,Multiple,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,ATHOME,Worked at home,NA,NA,NA
2000,Other,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,ATHOME,Worked at home,NA,NA,NA
2000,AIAN,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,BICYCLE,Bicycle,0,64,0.0
2000,Asian,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,BICYCLE,Bicycle,NA,NA,NA
2000,AfricanAm,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,BICYCLE,Bicycle,NA,NA,NA
2000,Latino,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,BICYCLE,Bicycle,NA,NA,NA
2000,NHOPI,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,BICYCLE,Bicycle,NA,NA,NA
2000,White,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,BICYCLE,Bicycle,0,489,0.0
2000,Multiple,CO,6003.0,Alpine,Alpine,6003,Central/Southeast Sierra,3,BICYCLE,Bicycle,NA,NA,NA
